tanggal,nama_pasar,komoditas,harga
2021-01-21,"Pasar Grogol","Beras Muncul .I",14000
2021-01-22,"Pasar Grogol","Beras Muncul .I",14000
2021-01-23,"Pasar Grogol","Beras Muncul .I",14000
2021-01-24,"Pasar Grogol","Beras Muncul .I",14000
2021-01-25,"Pasar Grogol","Beras Muncul .I",14000
2021-01-26,"Pasar Grogol","Beras Muncul .I",14000
2021-01-27,"Pasar Grogol","Beras Muncul .I",14000
2021-01-28,"Pasar Grogol","Beras Muncul .I",14000
2021-01-29,"Pasar Grogol","Beras Muncul .I",14000
2021-01-30,"Pasar Grogol","Beras Muncul .I",14000
2021-01-31,"Pasar Grogol","Beras Muncul .I",
2021-01-01,"Pasar Grogol","Beras IR 42/Pera",14000
2021-01-02,"Pasar Grogol","Beras IR 42/Pera",14000
2021-01-03,"Pasar Grogol","Beras IR 42/Pera",14000
2021-01-04,"Pasar Grogol","Beras IR 42/Pera",14000
2021-01-05,"Pasar Grogol","Beras IR 42/Pera",14000
2021-01-06,"Pasar Grogol","Beras IR 42/Pera",14000
2021-01-07,"Pasar Grogol","Beras IR 42/Pera",14000
2021-01-08,"Pasar Grogol","Beras IR 42/Pera",14000
2021-01-09,"Pasar Grogol","Beras IR 42/Pera",14000
2021-01-10,"Pasar Grogol","Beras IR 42/Pera",14000
2021-01-11,"Pasar Grogol","Beras IR 42/Pera",14000
2021-01-12,"Pasar Grogol","Beras IR 42/Pera",14000
2021-01-13,"Pasar Grogol","Beras IR 42/Pera",14000
2021-01-14,"Pasar Grogol","Beras IR 42/Pera",14000
2021-01-15,"Pasar Grogol","Beras IR 42/Pera",14000
2021-01-16,"Pasar Grogol","Beras IR 42/Pera",14000
2021-01-17,"Pasar Grogol","Beras IR 42/Pera",14000
2021-01-18,"Pasar Grogol","Beras IR 42/Pera",14000
2021-01-19,"Pasar Grogol","Beras IR 42/Pera",14000
2021-01-20,"Pasar Grogol","Beras IR 42/Pera",14000
2021-01-21,"Pasar Grogol","Beras IR 42/Pera",14000
2021-01-22,"Pasar Grogol","Beras IR 42/Pera",14000
2021-01-23,"Pasar Grogol","Beras IR 42/Pera",14000
2021-01-24,"Pasar Grogol","Beras IR 42/Pera",14000
2021-01-25,"Pasar Grogol","Beras IR 42/Pera",14000
2021-01-26,"Pasar Grogol","Beras IR 42/Pera",14000
2021-01-27,"Pasar Grogol","Beras IR 42/Pera",14000
2021-01-28,"Pasar Grogol","Beras IR 42/Pera",14000
2021-01-29,"Pasar Grogol","Beras IR 42/Pera",14000
2021-01-30,"Pasar Grogol","Beras IR 42/Pera",14000
2021-01-31,"Pasar Grogol","Beras IR 42/Pera",
2021-01-01,"Pasar Grogol","Beras Setra I/Premium",13000
2021-01-02,"Pasar Grogol","Beras Setra I/Premium",13000
2021-01-03,"Pasar Grogol","Beras Setra I/Premium",13000
2021-01-04,"Pasar Grogol","Beras Setra I/Premium",13000
2021-01-05,"Pasar Grogol","Beras Setra I/Premium",13000
2021-01-06,"Pasar Grogol","Beras Setra I/Premium",13000
2021-01-07,"Pasar Grogol","Beras Setra I/Premium",13000
2021-01-08,"Pasar Grogol","Beras Setra I/Premium",13000
2021-01-09,"Pasar Grogol","Beras Setra I/Premium",13000
2021-01-10,"Pasar Grogol","Beras Setra I/Premium",13000
2021-01-11,"Pasar Grogol","Beras Setra I/Premium",13000
2021-01-12,"Pasar Grogol","Beras Setra I/Premium",13000
2021-01-13,"Pasar Grogol","Beras Setra I/Premium",13000
2021-01-14,"Pasar Grogol","Beras Setra I/Premium",13000
2021-01-15,"Pasar Grogol","Beras Setra I/Premium",13000
2021-01-16,"Pasar Grogol","Beras Setra I/Premium",13000
2021-01-17,"Pasar Grogol","Beras Setra I/Premium",13000
2021-01-18,"Pasar Grogol","Beras Setra I/Premium",13000
2021-01-19,"Pasar Grogol","Beras Setra I/Premium",13000
2021-01-20,"Pasar Grogol","Beras Setra I/Premium",13000
2021-01-21,"Pasar Grogol","Beras Setra I/Premium",13000
2021-01-22,"Pasar Grogol","Beras Setra I/Premium",13000
2021-01-23,"Pasar Grogol","Beras Setra I/Premium",13000
2021-01-24,"Pasar Grogol","Beras Setra I/Premium",13000
2021-01-25,"Pasar Grogol","Beras Setra I/Premium",13000
2021-01-26,"Pasar Grogol","Beras Setra I/Premium",13000
2021-01-27,"Pasar Grogol","Beras Setra I/Premium",13000
2021-01-28,"Pasar Grogol","Beras Setra I/Premium",13000
2021-01-29,"Pasar Grogol","Beras Setra I/Premium",13000
2021-01-30,"Pasar Grogol","Beras Setra I/Premium",13000
2021-01-31,"Pasar Grogol","Beras Setra I/Premium",
2021-01-01,"Pasar Grogol","Minyak Goreng (Kuning/Curah)",13000
2021-01-02,"Pasar Grogol","Minyak Goreng (Kuning/Curah)",13000
2021-01-03,"Pasar Grogol","Minyak Goreng (Kuning/Curah)",13000
2021-01-04,"Pasar Grogol","Minyak Goreng (Kuning/Curah)",12500
2021-01-05,"Pasar Grogol","Minyak Goreng (Kuning/Curah)",13000
2021-01-06,"Pasar Grogol","Minyak Goreng (Kuning/Curah)",13000
2021-01-07,"Pasar Grogol","Minyak Goreng (Kuning/Curah)",13000
2021-01-08,"Pasar Grogol","Minyak Goreng (Kuning/Curah)",13000
2021-01-09,"Pasar Grogol","Minyak Goreng (Kuning/Curah)",13000
2021-01-10,"Pasar Grogol","Minyak Goreng (Kuning/Curah)",13000
2021-01-11,"Pasar Grogol","Minyak Goreng (Kuning/Curah)",13000
2021-01-12,"Pasar Grogol","Minyak Goreng (Kuning/Curah)",13000
2021-01-13,"Pasar Grogol","Minyak Goreng (Kuning/Curah)",13000
2021-01-14,"Pasar Grogol","Minyak Goreng (Kuning/Curah)",13000
2021-01-15,"Pasar Grogol","Minyak Goreng (Kuning/Curah)",13000
2021-01-16,"Pasar Grogol","Minyak Goreng (Kuning/Curah)",13000
2021-01-17,"Pasar Grogol","Minyak Goreng (Kuning/Curah)",13000
2021-01-18,"Pasar Grogol","Minyak Goreng (Kuning/Curah)",13000
2021-01-19,"Pasar Grogol","Minyak Goreng (Kuning/Curah)",13000
2021-01-20,"Pasar Grogol","Minyak Goreng (Kuning/Curah)",13000
2021-01-21,"Pasar Grogol","Minyak Goreng (Kuning/Curah)",13000
2021-01-22,"Pasar Grogol","Minyak Goreng (Kuning/Curah)",13000
2021-01-23,"Pasar Grogol","Minyak Goreng (Kuning/Curah)",13000
2021-01-24,"Pasar Grogol","Minyak Goreng (Kuning/Curah)",13000
2021-01-25,"Pasar Grogol","Minyak Goreng (Kuning/Curah)",13000
2021-01-26,"Pasar Grogol","Minyak Goreng (Kuning/Curah)",13000
2021-01-27,"Pasar Grogol","Minyak Goreng (Kuning/Curah)",15000
2021-01-28,"Pasar Grogol","Minyak Goreng (Kuning/Curah)",15000
2021-01-29,"Pasar Grogol","Minyak Goreng (Kuning/Curah)",15000
2021-01-30,"Pasar Grogol","Minyak Goreng (Kuning/Curah)",15000
2021-01-31,"Pasar Grogol","Minyak Goreng (Kuning/Curah)",
2021-01-01,"Pasar Grogol","Cabe Merah Keriting",60000
2021-01-02,"Pasar Grogol","Cabe Merah Keriting",60000
2021-01-03,"Pasar Grogol","Cabe Merah Keriting",60000
2021-01-04,"Pasar Grogol","Cabe Merah Keriting",60000
2021-01-05,"Pasar Grogol","Cabe Merah Keriting",50000
2021-01-06,"Pasar Grogol","Cabe Merah Keriting",50000
2021-01-07,"Pasar Grogol","Cabe Merah Keriting",50000
2021-01-08,"Pasar Grogol","Cabe Merah Keriting",55000
2021-01-09,"Pasar Grogol","Cabe Merah Keriting",50000
2021-01-10,"Pasar Grogol","Cabe Merah Keriting",50000
2021-01-11,"Pasar Grogol","Cabe Merah Keriting",50000
2021-01-12,"Pasar Grogol","Cabe Merah Keriting",50000
2021-01-13,"Pasar Grogol","Cabe Merah Keriting",48000
2021-01-14,"Pasar Grogol","Cabe Merah Keriting",47000
2021-01-15,"Pasar Grogol","Cabe Merah Keriting",48000
2021-01-16,"Pasar Grogol","Cabe Merah Keriting",48000
2021-01-17,"Pasar Grogol","Cabe Merah Keriting",48000
2021-01-18,"Pasar Grogol","Cabe Merah Keriting",50000
2021-01-19,"Pasar Grogol","Cabe Merah Keriting",48000
2021-01-20,"Pasar Grogol","Cabe Merah Keriting",47000
2021-01-21,"Pasar Grogol","Cabe Merah Keriting",43000
2021-01-22,"Pasar Grogol","Cabe Merah Keriting",40000
2021-01-23,"Pasar Grogol","Cabe Merah Keriting",40000
2021-01-24,"Pasar Grogol","Cabe Merah Keriting",40000
2021-01-25,"Pasar Grogol","Cabe Merah Keriting",45000
2021-01-26,"Pasar Grogol","Cabe Merah Keriting",45000
2021-01-27,"Pasar Grogol","Cabe Merah Keriting",40000
2021-01-28,"Pasar Grogol","Cabe Merah Keriting",40000
